model,variable,estimate,std.error,t.value,p.value
M1_primary_lag1_poisson,beds_lag1,-0.0014444048433310186,7.975979803961644e-4,-1.8109434562680153,0.0701496048194541
M1_primary_lag1_poisson,avg_temp_f,-0.01768783046512077,0.014188344355863813,-1.2466451350125765,0.2125276443379973
M1_primary_lag1_poisson,cold_day,0.1443397690876726,0.30413168519703393,0.4745962887561716,0.6350747520114597
M1_primary_lag1_poisson,daily_tbh_closures,0.044544294132114824,0.017246121465698025,2.5828586572761867,0.009798545680970258
M1_primary_lag1_poisson,daily_tbg_closures,-0.06304525556245344,0.012498152723715628,-5.044365911997789,4.5502779266703924e-7
M2_ols_lag1,beds_lag1,-9.654620167696683e-5,1.068615676571657e-4,-0.9034698235637649,0.37131033981123596
M2_ols_lag1,avg_temp_f,-0.004463962157075435,0.0026414690214482217,-1.6899543855441495,0.09827520705041902
M2_ols_lag1,cold_day,0.02466522530482151,0.06247368396560716,0.3948098421472975,0.6949348463099045
M2_ols_lag1,daily_tbh_closures,0.009092059988180292,0.00418113764608404,2.1745421360848316,0.03521243840709364
M2_ols_lag1,daily_tbg_closures,-0.010846580659153341,0.0020088993020851756,-5.3992654822941715,2.7128717317592413e-6
M3_utilization_lag1,utilization_lag1,-0.8351062037158951,1.1166044104094592,-0.7478979985487083,0.45452168489533123
M3_utilization_lag1,avg_temp_f,-0.018235292565361237,0.014597057355044192,-1.2492444279572423,0.2115756867740519
M3_utilization_lag1,cold_day,0.1342193715185766,0.30852947771944444,0.4350293285124169,0.6635411393018484
M3_utilization_lag1,daily_tbh_closures,0.0435411934792308,0.01755940179821554,2.479651299035462,0.013151092280351832
M3_utilization_lag1,daily_tbg_closures,-0.0636301336198723,0.012483581574127267,-5.097105605633911,3.448859516174218e-7
M4_capacity_interaction,beds_lag1,0.06667244341157841,0.049601914657816645,1.3441506012726399,0.1788996919588071
M4_capacity_interaction,avg_temp_f,-0.017383021903563535,0.014205777209700059,-1.2236586317638414,0.22108103146014912
M4_capacity_interaction,cold_day,0.15497811320381558,0.30509003083795516,0.5079750156966955,0.6114708647490326
M4_capacity_interaction,daily_tbh_closures,0.044022830785010444,0.017415166392758606,2.527844396784837,0.011476520337304395
M4_capacity_interaction,daily_tbg_closures,-0.06280477605751593,0.012566677412423533,-4.99772326418012,5.801115518825513e-7
M4_capacity_interaction,beds_lag1:large_site,-0.06815500747306968,0.04951871361728995,-1.3763485053309763,0.16871376244845135
M5_weather_interaction,beds_lag1,-0.0017396352372826703,0.0011876325460346017,-1.464792492502126,0.14297754077443992
M5_weather_interaction,cold_day,0.11542275587960586,0.3130412101293886,0.3687142527716988,0.7123407239834115
M5_weather_interaction,avg_temp_f,-0.017703838733042213,0.014157075401059623,-1.2505293806457458,0.21110622952994915
M5_weather_interaction,daily_tbh_closures,0.04455886874185586,0.017248842045236603,2.583296236639904,0.009786125505105025
M5_weather_interaction,daily_tbg_closures,-0.06309597163349029,0.012492322783047276,-5.050779805266861,4.400100590874267e-7
M5_weather_interaction,beds_lag1:cold_day,4.7455493426726346e-4,0.0011031348316562373,0.43018760776030496,0.6670591757082993
M6_distributed_lag,beds_lag0,0.0018287836283207644,0.001342305611663374,1.3624197145794175,0.17306546551083396
M6_distributed_lag,beds_lag1,-0.0016202601601704582,0.0011676638892305863,-1.387608347842377,0.16525633809930382
M6_distributed_lag,beds_lag2,-0.0016071401391441057,0.001084580364643281,-1.4818082564796338,0.13839132157982303
M6_distributed_lag,avg_temp_f,-0.017943062540331248,0.01431473350496804,-1.2534681511258292,0.21003538278439549
M6_distributed_lag,cold_day,0.15488469970979205,0.31539561694624507,0.49108069797999143,0.6233693727976236
M6_distributed_lag,daily_tbh_closures,0.04572069202112606,0.017239598061443803,2.652074129464767,0.007999897604977203
M6_distributed_lag,daily_tbg_closures,-0.06378729823605757,0.012649275623597385,-5.042762932373894,4.588576017097589e-7
