model,term,estimate,std_error,IRR,IRR_lo95,IRR_hi95,p_value
M1_daily_total,(Intercept),5.0261878910359155,0.19518654960478324,152.3511252009546,103.92009160013691,223.35301088174143,3.1667593296798693e-146
M1_daily_total,intake_field_pairs,-0.1052871635980113,0.013672887449619536,0.9000660192751289,0.8762656128409468,0.9245128727889762,1.3560516081144214e-14
M1_daily_total,dispatcher,0.12388764581574438,0.026554397856831946,1.131888691424137,1.0744845154017373,1.1923596770446059,3.079745026237794e-6
M1_daily_total,weekend,-0.02152295181634261,0.03926787339910314,0.9787070141077201,0.9062065818184023,1.0570077934565247,0.5836192119174144
M2_daily_TBC,(Intercept),5.833691490839261,0.2212998802060566,341.6174319254898,221.3939570493633,527.1258138691924,3.8366890602320653e-153
M2_daily_TBC,intake_field_pairs,-0.17439703413221377,0.01596690254264763,0.8399633373306671,0.8140836426861917,0.8666657466935973,9.007486718883613e-28
M2_daily_TBC,dispatcher,0.06704884208039358,0.03052243125989771,1.0693477060657588,1.0072510392021927,1.1352726102658868,0.028041370012808507
M2_daily_TBC,weekend,0.09141349395429454,0.04504538995315135,1.0957219860164142,1.0031294160768132,1.196861193977608,0.04242122628381326
M3_daily_TBH,(Intercept),-0.005736278315708362,0.5257690345399533,0.9942801427152113,0.3547849009318918,2.786457370652201,0.9912950424905761
M3_daily_TBH,intake_field_pairs,0.10525510110776076,0.03472081995974021,1.1109939900065033,1.0379029611303954,1.189232223103273,0.002433666362950672
M3_daily_TBH,dispatcher,0.2519392911056003,0.06855632386272728,1.2865179318327498,1.1247591190550168,1.4715403155102194,2.3792007425482397e-4
M3_daily_TBH,weekend,-0.47391920341729793,0.10922420216199119,0.6225575510583472,0.5025809087084898,0.7711751434724154,1.4316000961111819e-5
M4_daily_TBG,(Intercept),-1.1917372318841928,0.6687260506657948,0.3036932199872255,0.08188493153525592,1.1263314279807326,0.07473279489574743
M4_daily_TBG,intake_field_pairs,0.09185885658624464,0.04391973951285111,1.0962100883271892,1.0057928813603556,1.1947554809942695,0.036481795595539934
M4_daily_TBG,dispatcher,0.39567529325012823,0.08719509311395637,1.4853869240770003,1.252038359449848,1.762225811666365,5.683980605116033e-6
M4_daily_TBG,weekend,-0.15648053022569197,0.12742560940502146,0.8551481670826425,0.6661537863516586,1.0977621123641945,0.2194414240711901
M5_daily_knockon,(Intercept),5.861963071565377,0.2206301310259245,351.41331684079506,228.04158775482102,541.5298168587598,1.5417250560614298e-155
M5_daily_knockon,intake_field_pairs,-0.18750909057341067,0.01635368353024109,0.8290215818645967,0.8028701290616691,0.8560248517409818,1.9579854440112013e-30
M5_daily_knockon,dispatcher,0.061641803568071474,0.030906846536481465,1.063581305459973,1.0010649510146266,1.1300017967639469,0.04610415843253678
M5_daily_knockon,weekend,0.1753544395843634,0.04828698036076654,1.1916685162616838,1.0840585972685555,1.3099604174787296,2.8177254203896315e-4
M5_daily_knockon,closures_TBH,0.023976763229189717,0.003838317302567308,1.024266516967791,1.0165897682627218,1.0320012364222426,4.1925250364683707e-10
M5_daily_knockon,closures_TBG,-0.023566388930180163,0.002762334434553019,0.9767091298421509,0.9714353446906371,0.982011545627681,1.4467365354373394e-17
M6_shift_TBH_24h,(Intercept),0.6009775641949513,0.4720098205772472,1.8239009094097827,0.7231333137419713,4.600278349965269,0.2029360619169689
M6_shift_TBH_24h,pairs_24h,0.05376189860954851,0.0350474919023864,1.0552333197202426,0.9851797319023056,1.1302682373476034,0.12503634923730755
M6_shift_TBH_24h,disp_24h,0.1325894234971505,0.0726264517113671,1.141781113584316,0.9902890370413351,1.3164480899766091,0.0679051950685346
M6_shift_TBH_24h,shift_factorPM,-0.0017050829516347015,0.09157856832289209,0.9982963698764532,0.8342692584548559,1.194573133324236,0.9851452060425876
M6_shift_TBH_24h,shift_factorOVN,-2.66652735344399,0.2509722834920672,0.06949313186061885,0.04249227309593875,0.11365114228871237,2.285303596358835e-26
M6_shift_TBH_24h,weekend,-0.5107637339852854,0.1140439826345505,0.6000371350175504,0.4798460575539583,0.7503334824410498,7.511456930142771e-6
M7_shift_TBG_24h,(Intercept),0.8548772876674104,0.6130145646885757,2.3510858556430163,0.707066004332935,7.81766435768545,0.1631526516484741
M7_shift_TBG_24h,pairs_24h,-0.2108239358868731,0.042351564963526045,0.8099166515858514,0.7454009606136958,0.880016282747979,6.426153963333592e-7
M7_shift_TBG_24h,disp_24h,0.4537548687235693,0.0923125425593202,1.5742120615624464,1.3136667661934,1.8864324488847208,8.859256379416335e-7
M7_shift_TBG_24h,shift_factorPM,0.4549603720111283,0.13656053181179614,1.5761109236902857,1.2059911134468881,2.0598208528053523,8.635893925389112e-4
M7_shift_TBG_24h,shift_factorOVN,0.015448694088413517,0.14867591090597956,1.01556864204669,0.7588462499917032,1.3591418112955485,0.9172419445199664
M7_shift_TBG_24h,weekend,-0.395383493002439,0.13617757373417497,0.6734217371996126,0.5156683062601928,0.8794351536200898,0.003690870077031318
M8_shift_TBC_knockon_24h,(Intercept),3.5607122044723947,0.2175531861084919,35.18824945150043,22.972732283170895,53.89924385999554,3.2856135885688207e-60
M8_shift_TBC_knockon_24h,pairs_24h,-0.15050354025783647,0.01614449566119869,0.8602746844078291,0.8334790169328834,0.8879318106367936,1.1386457602488075e-20
M8_shift_TBC_knockon_24h,disp_24h,0.2721826149703876,0.0343264025433585,1.312826721235041,1.227405836316274,1.4041924431135249,2.204739548885323e-15
