model,term,HR,HR_lo95,HR_hi95,p_value,n_events
M1_PLACED,pop_available_s2,1.0035934834591622,0.9925830378232106,1.014726064884748,0.5239215188305734,338
M1b_PLACED_staffing,pop_available_s2,1.002549101696054,0.9915867894133635,1.013632605882334,0.6499396815810993,338
M1c_PLACED_utilization,pop_utilization_s2,18.453325770647986,0.002527823854296253,134710.8230737316,0.5206631503914418,338
M1d_PLACED_lag1,pop_available_s2_lag1,0.9949283011893402,0.9814775151447963,1.0085634252777254,0.4640720216506777,338
M1f_PLACED_first30d,pop_available_s2,1.0035934834591622,0.9925830378232109,1.0147260648847478,0.5239215188305634,338
M2_CANCELLED,pop_available_s2,1.0342466339960046,1.0029157405629663,1.0665562984699293,0.031912301759490176,639
M3_NON_CONTACT,pop_available_s2,0.9980049449234728,0.9837095381828869,1.012508094545414,0.7861594483390829,136
M4_REFUSED,pop_available_s2,0.9913099010752582,0.9670154361479734,1.0162147192647972,0.49054298104873756,57
M5_OTHER,pop_available_s2,0.9789150533148699,0.9416686068893658,1.0176347332762257,0.28159538990214655,138
